timestamp,raw_hum,filtered_hum,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,cycle_extreme_hum,overshoot_on_learned,overshoot_off_learned,last_cycle_duration_ms,phase_reversed,sht30_temp,target_hum,reversal_delta,cold_fan_used_this_phase,state_elapsed_ms
13710,90.19,90.19,49.7,50.3,0,0,30.73,28.6,45.1,0.3,0.3,0,1,30.41,50.0,45.09,0,13504
14219,90.16,90.19,49.7,50.3,0,0,30.68,28.6,45.1,0.3,0.3,0,1,30.41,50.0,45.08,0,14005
14728,90.16,90.17,49.7,50.3,0,0,30.68,28.59,45.1,0.3,0.3,0,1,30.41,50.0,45.07,0,14505
15237,90.15,90.16,49.7,50.3,0,0,30.78,28.59,45.1,0.3,0.3,0,1,30.39,50.0,45.06,0,15005
15746,90.15,90.16,49.7,50.3,0,0,30.78,28.58,45.1,0.3,0.3,0,1,30.39,50.0,45.05,0,15505
16255,90.17,90.16,49.7,50.3,0,0,30.45,28.59,45.1,0.3,0.3,0,1,30.41,50.0,45.06,0,16005
16763,90.14,90.15,49.7,50.3,0,0,30.85,28.56,45.1,0.3,0.3,0,1,30.38,50.0,45.04,0,16505
17271,90.12,90.14,49.7,50.3,0,0,30.64,28.56,45.1,0.3,0.3,0,1,30.41,50.0,45.04,0,17005
17779,90.13,90.13,49.7,50.3,0,0,30.66,28.58,45.1,0.3,0.3,0,1,30.42,50.0,45.03,0,17505
18288,90.15,90.13,49.7,50.3,0,0,30.71,28.6,45.1,0.3,0.3,0,1,30.41,50.0,45.02,0,18005
18797,90.15,90.14,49.7,50.3,0,0,30.71,28.59,45.1,0.3,0.3,0,1,30.41,50.0,45.03,0,18505
19306,90.15,90.14,49.7,50.3,0,0,30.71,28.59,45.1,0.3,0.3,0,1,30.41,50.0,45.04,0,19005
19814,90.15,90.15,49.7,50.3,0,0,30.54,28.6,45.1,0.3,0.3,0,1,30.42,50.0,45.04,0,19505
20323,90.15,90.15,49.7,50.3,1,0,30.54,28.6,45.1,0.3,0.3,20005,0,30.42,50.0,45.04,0,0
20845,90.15,90.15,49.7,50.3,1,0,30.71,28.6,90.15,0.3,0.3,20005,0,30.41,50.0,0.0,0,500
21354,90.15,90.15,49.7,50.3,1,0,30.71,28.59,90.15,0.3,0.3,20005,0,30.41,50.0,0.0,0,1000
21863,90.15,90.15,49.7,50.3,1,0,30.71,28.59,90.15,0.3,0.3,20005,0,30.41,50.0,0.0,0,1500
22372,90.12,90.15,49.7,50.3,1,0,30.87,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.0,0,2000
22881,90.12,90.13,49.7,50.3,1,0,30.87,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.01,0,2500
23390,90.12,90.12,49.7,50.3,1,0,30.87,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.02,0,3000
23899,90.12,90.12,49.7,50.3,1,0,30.61,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.02,0,3500
24408,90.09,90.12,49.7,50.3,1,0,30.48,28.59,90.15,0.3,0.3,20005,0,30.39,50.0,0.02,0,4000
24917,90.08,90.1,49.7,50.3,1,0,30.66,28.56,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,4500
25426,90.08,90.09,49.7,50.3,1,0,30.66,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.05,0,5000
25934,90.08,90.08,49.7,50.3,1,0,30.66,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.06,0,5500
26442,90.08,90.08,49.7,50.3,1,0,30.66,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.06,0,6000
26951,90.11,90.08,49.7,50.3,1,0,30.2,28.6,90.15,0.3,0.3,20005,0,30.42,50.0,0.06,0,6500
27460,90.11,90.09,49.7,50.3,1,0,30.2,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.05,0,7000
27969,90.11,90.1,49.7,50.3,1,0,30.06,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,7500
28478,90.11,90.1,49.7,50.3,1,0,30.06,28.61,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,8000
28987,90.1,90.11,49.7,50.3,1,0,30.01,28.61,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,8500
29496,90.1,90.1,49.7,50.3,1,0,30.01,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,9000
30005,90.1,90.1,49.7,50.3,1,0,29.74,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,9500
30514,90.1,90.1,49.7,50.3,1,0,29.74,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,10506
31023,90.1,90.1,49.7,50.3,1,0,29.74,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.04,0,11006
31532,90.07,90.08,49.7,50.3,1,0,29.26,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.06,0,11506
32047,90.07,90.07,49.7,50.3,1,0,29.24,28.6,90.15,0.3,0.3,20005,0,30.42,50.0,0.07,0,12006
32556,90.07,90.07,49.7,50.3,1,0,29.24,28.59,90.15,0.3,0.3,20005,0,30.42,50.0,0.07,0,12506
33065,90.05,90.06,49.7,50.3,1,0,29.12,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.08,0,13006
33574,90.09,90.05,49.7,50.3,1,0,28.92,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.09,0,13506
34083,90.09,90.07,49.7,50.3,1,0,28.92,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.07,0,14006
34592,90.05,90.06,49.7,50.3,1,0,28.6,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.08,0,14506
35101,90.03,90.04,49.7,50.3,1,0,28.87,28.58,90.15,0.3,0.3,20005,0,30.42,50.0,0.1,0,15006
35610,90.08,90.06,49.7,50.3,1,0,28.56,28.62,90.15,0.3,0.3,20005,0,30.45,50.0,0.08,0,15506
36119,90.08,90.07,49.7,50.3,1,0,28.56,28.62,90.15,0.3,0.3,20005,0,30.45,50.0,0.07,0,16006
36628,90.02,90.04,49.7,50.3,1,0,28.35,28.6,90.15,0.3,0.3,20005,0,30.45,50.0,0.1,0,16506
37137,90.05,90.03,49.7,50.3,1,0,28.19,28.6,90.15,0.3,0.3,20005,0,30.43,50.0,0.11,0,17006
37646,90.05,90.04,49.7,50.3,1,0,28.19,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.1,0,17506
38155,90.05,90.04,49.7,50.3,1,0,28.19,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.1,0,18006
38664,90.03,90.04,49.7,50.3,1,0,28.01,28.59,90.15,0.3,0.3,20005,0,30.43,50.0,0.1,0,18506
39173,90.05,90.04,49.7,50.3,1,0,27.88,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.1,0,19006
39681,90.06,90.05,49.7,50.3,1,0,27.92,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.09,0,19506
40189,90.06,90.06,49.7,50.3,1,0,27.92,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.09,0,20006
40698,90.06,90.06,49.7,50.3,1,0,27.92,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.08,0,20506
41207,90.06,90.06,49.7,50.3,1,0,27.92,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.08,0,21006
41716,90.0,90.06,49.7,50.3,1,0,27.12,28.61,90.15,0.3,0.3,20005,0,30.45,50.0,0.08,0,21506
42225,90.0,90.03,49.7,50.3,1,0,27.12,28.6,90.15,0.3,0.3,20005,0,30.45,50.0,0.11,0,22006
42734,90.03,90.01,49.7,50.3,1,0,27.05,28.6,90.15,0.3,0.3,20005,0,30.45,50.0,0.13,0,22506
43243,90.06,90.02,49.7,50.3,1,0,26.94,28.61,90.15,0.3,0.3,20005,0,30.46,50.0,0.12,0,23007
43752,90.06,90.04,49.7,50.3,1,0,26.94,28.63,90.15,0.3,0.3,20005,0,30.46,50.0,0.11,0,23508
44261,90.02,90.05,49.7,50.3,1,0,26.65,28.63,90.15,0.3,0.3,20005,0,30.45,50.0,0.1,0,24008
44770,90.02,90.03,49.7,50.3,1,0,26.65,28.6,90.15,0.3,0.3,20005,0,30.45,50.0,0.11,0,24508
45286,90.03,90.02,49.7,50.3,1,0,26.4,28.6,90.15,0.3,0.3,20005,0,30.45,50.0,0.12,0,25008
