timestamp,raw_hum,target_hum,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,state_elapsed_ms,profile,condensing_started,fan_boost_allowed,sht30_temp
11630,86.72,50.0,49.7,50.3,0,0,31.9,29.36,11499,1,0,1,31.82
12136,86.72,50.0,49.7,50.3,0,0,31.9,29.32,11999,1,0,1,31.82
12642,86.75,50.0,49.7,50.3,0,0,31.85,29.37,12499,1,0,1,31.86
13148,86.75,50.0,49.7,50.3,0,0,31.8,29.37,12999,1,0,1,31.86
13654,86.75,50.0,49.7,50.3,0,0,31.8,29.37,13499,1,0,1,31.86
14160,86.77,50.0,49.7,50.3,0,0,31.85,29.37,13999,1,0,1,31.86
14666,86.77,50.0,49.7,50.3,0,0,31.85,29.37,14499,1,0,1,31.86
15172,86.77,50.0,49.7,50.3,0,0,31.85,29.37,14999,1,0,1,31.86
15678,86.77,50.0,49.7,50.3,0,0,31.85,29.37,15499,1,0,1,31.86
16184,86.77,50.0,49.7,50.3,0,0,31.85,29.37,15999,1,0,1,31.86
16690,86.77,50.0,49.7,50.3,0,0,31.85,29.37,16499,1,0,1,31.86
17196,86.7,50.0,49.7,50.3,0,0,31.99,29.32,16999,1,0,1,31.82
17702,86.7,50.0,49.7,50.3,0,0,31.99,29.32,17499,1,0,1,31.82
18208,86.7,50.0,49.7,50.3,0,0,31.99,29.32,17999,1,0,1,31.82
18714,86.73,50.0,49.7,50.3,0,0,31.92,29.37,18499,1,0,1,31.86
19220,86.74,50.0,49.7,50.3,0,0,32.01,29.37,18999,1,0,1,31.83
19726,86.74,50.0,49.7,50.3,0,0,32.01,29.34,19499,1,0,1,31.83
20232,86.72,50.0,49.7,50.3,0,0,31.94,29.38,19999,1,0,1,31.87
20738,86.72,50.0,49.7,50.3,0,0,31.94,29.38,20502,1,0,1,31.87
21244,86.72,50.0,49.7,50.3,0,0,31.94,29.38,21002,1,0,1,31.87
21750,86.74,50.0,49.7,50.3,0,0,31.94,29.38,21502,1,0,1,31.87
22256,86.72,50.0,49.7,50.3,0,0,31.83,29.38,22002,1,0,1,31.87
22764,86.72,50.0,49.7,50.3,0,0,31.83,29.38,22502,1,0,1,31.87
23270,86.7,50.0,49.7,50.3,0,0,31.92,29.38,23002,1,0,1,31.86
23776,86.7,50.0,49.7,50.3,0,0,31.92,29.36,23502,1,0,1,31.86
24282,86.66,50.0,49.7,50.3,0,0,31.78,29.36,24002,1,0,1,31.86
24788,86.66,50.0,49.7,50.3,0,0,31.78,29.35,24502,1,0,1,31.86
25294,86.67,50.0,49.7,50.3,0,0,32.34,29.35,25002,1,0,1,31.86
25800,86.67,50.0,49.7,50.3,0,0,32.34,29.36,25502,1,0,1,31.86
26306,86.69,50.0,49.7,50.3,0,0,31.94,29.36,26017,1,0,1,31.86
26812,86.69,50.0,49.7,50.3,0,0,31.94,29.36,26517,1,0,1,31.86
27318,86.69,50.0,49.7,50.3,0,0,31.94,29.36,27017,1,0,1,31.86
27824,86.69,50.0,49.7,50.3,0,0,31.94,29.36,27517,1,0,1,31.86
28330,86.66,50.0,49.7,50.3,0,0,31.71,29.35,28017,1,0,1,31.86
