timestamp,raw_hum,filtered_hum,current_tick,prev_tick,v,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,cycle_extreme_hum
12128,87.04,87.05,12001,12001,0.0,50.04,50.06,1,0,28.87,28.94,87.09
12634,87.04,87.05,12001,12001,0.0,50.04,50.06,1,0,28.87,28.94,87.09
13141,87.04,87.04,13001,13001,0.0,50.01,50.02,1,0,28.92,28.94,87.09
13648,87.04,87.04,13001,13001,0.0,50.01,50.02,1,0,28.92,28.94,87.09
14154,87.04,87.04,14001,14001,0.0,50.03,50.04,1,0,28.92,28.95,87.09
14660,87.01,87.04,14001,14001,0.0,50.03,50.04,1,0,28.58,28.95,87.09
15166,87.01,87.02,15001,15001,0.0,50.09,50.11,1,0,28.58,28.93,87.09
15672,87.01,87.02,15001,15001,0.0,50.09,50.11,1,0,28.58,28.93,87.09
16178,87.01,87.01,16001,16001,0.0,50.03,50.03,1,0,28.58,28.93,87.09
16684,87.01,87.01,16001,16001,0.0,50.03,50.03,1,0,28.37,28.93,87.09
17190,87.01,87.01,17001,17001,0.0,50.02,50.03,1,0,28.37,28.95,87.09
17696,87.01,87.01,17001,17001,0.0,50.02,50.03,1,0,28.37,28.95,87.09
18202,86.98,87.01,18001,18001,0.0,50.0,50.01,1,0,27.97,28.95,87.09
18708,86.98,87.01,18001,18001,0.0,50.0,50.01,1,0,27.97,28.95,87.09
19214,86.98,86.99,19001,19001,0.0,50.09,50.12,1,0,27.97,28.93,87.09
19720,87.0,86.99,19001,19001,0.0,50.09,50.12,1,0,27.7,28.93,87.09
20226,87.0,87.0,20001,20001,0.0,49.96,49.95,1,0,27.7,28.96,87.09
20732,87.0,87.0,20001,20001,0.0,49.96,49.95,1,0,27.7,28.96,87.09
21238,86.98,87.0,21001,21001,0.0,49.98,49.98,1,0,27.47,28.96,87.09
21744,86.98,87.0,21001,21001,0.0,49.98,49.98,1,0,27.47,28.96,87.09
22250,86.98,86.99,22001,22001,0.0,50.04,50.06,1,0,27.47,28.94,87.09
22756,86.96,86.99,22001,22001,0.0,50.04,50.06,1,0,27.18,28.94,87.09
23262,86.96,86.97,23001,23001,0.0,50.09,50.11,1,0,27.18,28.94,87.09
23768,86.96,86.97,23001,23001,0.0,50.09,50.11,1,0,27.18,28.94,87.09
24274,86.97,86.97,24009,24009,0.0,49.99,49.99,1,0,26.83,28.92,87.09
24780,86.97,86.97,24009,24009,0.0,49.99,49.99,1,0,26.83,28.92,87.09
25286,86.97,86.97,25010,25010,0.0,49.99,49.99,1,0,26.83,28.92,87.09
25792,86.97,86.97,25010,25010,0.0,49.99,49.99,1,0,26.83,28.92,87.09
26298,86.97,86.97,26010,26010,0.0,49.99,49.99,1,0,26.83,28.92,87.09
26804,86.93,86.97,26010,26010,0.0,49.99,49.99,1,0,26.65,28.92,87.09
27310,86.93,86.95,27010,27010,0.0,50.12,50.15,1,0,26.65,28.95,87.09
27818,86.91,86.95,27010,27010,0.0,50.12,50.15,1,0,26.12,28.95,87.09
28325,86.91,86.93,28010,28010,0.0,50.1,50.13,1,0,26.12,28.91,87.09
28831,86.91,86.93,28010,28010,0.0,50.1,50.13,1,0,26.12,28.91,87.09
29337,86.88,86.92,29010,29010,0.0,50.03,50.04,1,0,25.74,28.91,87.09
29843,86.88,86.92,29010,29010,0.0,50.03,50.04,1,0,25.74,28.91,87.09
30349,86.88,86.89,30010,30010,0.0,50.12,50.16,1,0,25.74,28.93,87.09
30856,86.85,86.89,30010,30010,0.0,50.12,50.16,1,0,25.01,28.93,87.09
31363,86.85,86.87,31010,31010,0.0,50.13,50.17,1,0,25.01,28.92,87.09
31869,86.85,86.87,31010,31010,0.0,50.13,50.17,1,0,25.01,28.92,87.09
