timestamp,raw_hum,filtered_hum,current_tick,prev_tick,v,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,cycle_extreme_hum,overshoot_on_learned,overshoot_off_learned
14689,80.21,80.22,14000,14000,0.0,47.95,50.3,1,0,30.13,27.18,80.23,2.05,0.3
15197,80.21,80.22,15000,15000,0.0,47.95,50.3,1,0,30.13,27.19,80.23,2.05,0.3
15704,80.21,80.22,15000,15000,0.0,47.95,50.3,1,0,30.13,27.19,80.23,2.05,0.3
16211,80.24,80.22,16000,16000,0.0,47.95,50.3,1,0,29.92,27.19,80.23,2.05,0.3
16718,80.24,80.22,16000,16000,0.0,47.95,50.3,1,0,29.92,27.19,80.23,2.05,0.3
17225,80.24,80.23,17000,17000,0.01,47.95,50.3,1,0,29.92,27.2,80.23,2.05,0.3
17732,80.22,80.23,17000,17000,0.01,47.95,50.3,1,0,29.74,27.2,80.23,2.05,0.3
18240,80.22,80.22,18000,18000,0.0,47.95,50.3,1,0,29.74,27.18,80.23,2.05,0.3
18747,80.22,80.22,18000,18000,0.0,47.95,50.3,1,0,29.74,27.18,80.23,2.05,0.3
19254,80.19,80.2,19000,19000,0.0,47.95,50.3,1,0,29.4,27.22,80.23,2.05,0.3
19761,80.19,80.2,19000,19000,0.0,47.95,50.3,1,0,29.4,27.22,80.23,2.05,0.3
20268,80.19,80.19,20000,20000,0.0,47.95,50.3,1,0,29.4,27.22,80.23,2.05,0.3
20775,80.19,80.19,20000,20000,0.0,47.95,50.3,1,0,29.4,27.22,80.23,2.05,0.3
21282,80.19,80.19,21000,21000,0.0,47.95,50.3,1,0,28.83,27.22,80.23,2.05,0.3
21789,80.19,80.19,21000,21000,0.0,47.95,50.3,1,0,28.83,27.22,80.23,2.05,0.3
22296,80.19,80.19,22000,22000,0.0,47.95,50.3,1,0,28.83,27.19,80.23,2.05,0.3
22803,80.19,80.19,22000,22000,0.0,47.95,50.3,1,0,28.83,27.19,80.23,2.05,0.3
23310,80.16,80.17,23000,23000,0.0,47.95,50.3,1,0,28.49,27.18,80.23,2.05,0.3
23817,80.16,80.17,23000,23000,0.0,47.95,50.3,1,0,28.49,27.18,80.23,2.05,0.3
24324,80.17,80.17,24011,24011,0.0,47.95,50.3,1,0,28.19,27.19,80.23,2.05,0.3
24831,80.17,80.17,24011,24011,0.0,47.95,50.3,1,0,28.19,27.19,80.23,2.05,0.3
25338,80.13,80.17,25012,25012,0.0,47.95,50.3,1,0,28.17,27.19,80.23,2.05,0.3
25845,80.13,80.17,25012,25012,0.0,47.95,50.3,1,0,28.17,27.19,80.23,2.05,0.3
26352,80.09,80.15,26012,26012,0.0,47.95,50.3,1,0,27.83,27.19,80.23,2.05,0.3
26859,80.09,80.15,26012,26012,0.0,47.95,50.3,1,0,27.83,27.19,80.23,2.05,0.3
27366,80.06,80.11,27012,27012,0.0,47.95,50.3,1,0,27.7,27.16,80.23,2.05,0.3
27873,80.06,80.11,27012,27012,0.0,47.95,50.3,1,0,27.7,27.16,80.23,2.05,0.3
28380,80.06,80.08,28012,28012,0.0,47.95,50.3,1,0,27.7,27.16,80.23,2.05,0.3
28887,79.97,80.08,28012,28012,0.0,47.95,50.3,1,0,27.45,27.16,80.23,2.05,0.3
29394,79.97,80.01,29015,29015,0.0,47.95,50.3,1,0,27.45,27.17,80.23,2.05,0.3
29901,79.97,80.01,29015,29015,0.0,47.95,50.3,1,0,27.45,27.17,80.23,2.05,0.3
30408,79.97,79.98,30015,30015,0.0,47.95,50.3,1,0,27.45,27.17,80.23,2.05,0.3
