timestamp,raw_hum,target_hum,turn_on_thres,turn_off_thres,peltier,cold_fan,ntc_temp,dew_point,state_elapsed_ms,profile,condensing_started,fan_boost_allowed,sht30_temp
17199,75.67,55.0,54.1,56.0,0,0,29.19,25.08,17001,2,0,1,29.84
17705,75.64,55.0,54.1,56.0,0,0,29.12,25.08,17501,2,0,1,29.83
18211,75.64,55.0,54.1,56.0,0,0,29.12,25.06,18001,2,0,1,29.83
18717,75.67,55.0,54.1,56.0,0,0,29.12,25.04,18501,2,0,1,29.8
19223,75.67,55.0,54.1,56.0,0,0,29.12,25.04,19001,2,0,1,29.8
19730,75.69,55.0,54.1,56.0,0,0,29.17,25.04,19501,2,0,1,29.83
20237,75.69,55.0,54.1,56.0,0,0,29.17,25.07,20001,2,0,1,29.83
20743,75.69,55.0,54.1,56.0,0,0,29.17,25.07,20501,2,0,1,29.83
21249,75.64,55.0,54.1,56.0,0,0,29.15,25.06,21001,2,0,1,29.83
21755,75.64,55.0,54.1,56.0,0,0,29.15,25.06,21501,2,0,1,29.83
22261,75.66,55.0,54.1,56.0,0,0,29.21,25.06,22001,2,0,1,29.83
22767,75.66,55.0,54.1,56.0,0,0,29.05,25.05,22501,2,0,1,29.81
23273,75.64,55.0,54.1,56.0,0,0,28.96,25.05,23001,2,0,1,29.83
23779,75.64,55.0,54.1,56.0,0,0,28.96,25.06,23501,2,0,1,29.83
24285,75.64,55.0,54.1,56.0,0,0,28.96,25.06,24001,2,0,1,29.83
24791,75.6,55.0,54.1,56.0,0,0,29.03,25.03,24501,2,0,1,29.81
25297,75.64,55.0,54.1,56.0,0,0,29.01,25.03,25001,2,0,1,29.83
25803,75.64,55.0,54.1,56.0,0,0,29.01,25.06,25501,2,0,1,29.83
26309,75.6,55.0,54.1,56.0,0,0,29.12,25.09,26001,2,0,1,29.87
26815,75.61,55.0,54.1,56.0,0,0,29.19,25.09,26501,2,0,1,29.83
27321,75.61,55.0,54.1,56.0,0,0,29.19,25.05,27001,2,0,1,29.83
27827,75.64,55.0,54.1,56.0,0,0,30.22,25.05,27501,2,0,1,29.87
28333,75.64,55.0,54.1,56.0,0,0,30.22,25.1,28001,2,0,1,29.87
28839,75.64,55.0,54.1,56.0,0,0,30.22,25.1,28501,2,0,1,29.87
29345,75.64,55.0,54.1,56.0,0,0,28.99,25.06,29001,2,0,1,29.83
29851,75.59,55.0,54.1,56.0,0,0,29.03,25.06,29509,2,0,1,29.84
30357,75.6,55.0,54.1,56.0,0,0,29.17,25.06,30009,2,0,1,29.84
30863,75.62,55.0,54.1,56.0,0,0,29.21,25.06,30509,2,0,1,29.84
31369,75.62,55.0,54.1,56.0,0,0,29.21,25.07,31009,2,0,1,29.84
31875,75.6,55.0,54.1,56.0,0,0,29.08,25.06,31509,2,0,1,29.84
32381,75.6,55.0,54.1,56.0,0,0,29.08,25.06,32009,2,0,1,29.84
32887,75.6,55.0,54.1,56.0,0,0,28.83,25.06,32509,2,0,1,29.84
33393,75.58,55.0,54.1,56.0,0,0,29.37,25.06,33009,2,0,1,29.86
33899,75.58,55.0,54.1,56.0,0,0,29.01,25.07,33509,2,0,1,29.83
34405,75.58,55.0,54.1,56.0,0,0,29.01,25.04,34009,2,0,1,29.83
34911,75.59,55.0,54.1,56.0,0,0,29.03,25.04,34509,2,0,1,29.86
35417,75.61,55.0,54.1,56.0,0,0,29.12,25.07,35009,2,0,1,29.83
35923,75.61,55.0,54.1,56.0,0,0,29.12,25.05,35509,2,0,1,29.83
36429,75.56,55.0,54.1,56.0,0,0,28.96,25.04,36009,2,0,1,29.83
36935,75.59,55.0,54.1,56.0,0,0,28.99,25.04,36509,2,0,1,29.86
37441,75.55,55.0,54.1,56.0,0,0,28.92,25.07,37009,2,0,1,29.83
37947,75.55,55.0,54.1,56.0,0,0,28.92,25.04,37509,2,0,1,29.83
38453,75.55,55.0,54.1,56.0,0,0,28.92,25.04,38009,2,0,1,29.83
38959,75.58,55.0,54.1,56.0,0,0,29.03,25.04,38512,2,0,1,29.81
